creator,filename,objectid,object_type,title,date,subject_date,subject_date_notes,description,subject,methodology,field,advisor,location,latitude,longitude,source,identifier,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb,image_alt_text,object_transcript
"Cambell, Blakeli",enghtcambell.pdf,ht036,thesis,The Trees Will Free Me: Women Connect with Nature in Literature to Resist Male Dominance and Violence in the Patriarchy,2022-12,,,"Abstract: The purpose of this paper is to analyze how women are challenging the patriarchal issues prevalent in the man v nature literature genre by using nature in their writing to create a new feminist theme and genre of woman alongside nature. In using an ecofeminist lens, I argue the behavior seen in man controlling nature frequently in literature can be representative of the patriarchy and behavior women face when it comes to dominant men, as nature is often represented as mother nature. As this genre continues to be written and popularized, women writers are finding ways to input themselves in the nature genre by utilizing their connection with the earth in their literature, therefore changing the extractive relationship with nature into an alliance-based relationship with nature. Specifically for women in South Korea, where they may not be able to physically resist the patriarchy by marching for equal rights or fighting against men, women are turning to nature in their literature to resists these behaviors. This essay continues to then analyze how Korean fiction writer Kang Han and her novel The Vegetarian exemplify how women in restrictive countries like Korea can turn to their connection with nature in their literature to motivate themselves and resists the violence of male domination. Thus, showing women in restrictive countries that they can connect with nature not only to input themselves in a genre that often leaves them out, but also gives them an outlet of resistance by utilizing this connection to find control over themselves and their bodies. In doing so, The Vegetarian re-writes this masculine genre of writing and create a new feminist hero that challenges masculine violence, dominance, and the conquering of land and woman, representing women and inspiring them to gain control of their bodies and connect with their nature roots.",The Vegetarian; Han King; women; nature; ecocriticism; patriarchy; feminism,textual analysis,literary studies,Emily Hoover,South Korea,,,,,English,,,pdf,enghtcambell.pdf,/objects/enghtcambell.pdf,/objects/small/enghtcambell_sm.jpg,/objects/thumbs/enghtcambell_th.jpg,,
"Del Rosario, Justin",enghtdelrosario.pdf,ht037,thesis,"""Meeting Them Where They're At"": Power Dynamics within the Language of Student-Tutor Interactions",2025-05,,,"Abstract: This qualitative case study is aimed towards interrogating what and how language is utilized within writing center student-tutor interactions to inherently sustain or subvert institutional power dynamics. In loosely structured interviews with both students and tutors, three key themes were found as significant trends throughout the collective data. First, newer individuals exposed to interactions at the writing center disproportionately reinforce hierarchical norms. Second, verbal communication choices have the potential to be “overly nice” or act as a form of capitalist politeness, further obscuring systemic inequalities. Finally, body language materially encodes itself within cultural assumptions about authority and the physical space. By exposing how this power operates, this research argues for transformative tutoring practices that challenge the oppressive structures, center student agency, and reject performative practices of autho",writing center; tutoring; language; students; Marxism; Tara Yosso,qualitative research; interviews,writing studies,Brianne Taormina,Nevada State University Writing Center,35.98330936,-114.9392226,,,English,,,pdf,enghtdelrosario.pdf,/objects/enghtdelrosario.pdf,/objects/small/enghtdelrosario_sm.jpg,/objects/thumbs/enghtdelrosario_th.jpg,,
"Jones, Bre-Anna",enghtjones.pdf,ht038,thesis,Still They Rise: A Literary Comparison of Black Women's Slave Narratives,2022-12,2003,Paula C. Johnson publishes Inner Lives: Voices of African American Women in Prison.,"Introduction: ""In 2010, author Piper Kerman introduced the world to her experience in a U.S. Federal woman’s prison, after being convicted of money laundering and drug trafficking. Her critically acclaimed text reached major audiences in 2013, once it became adapted into a television series of an abbreviated name, Orange is the New Black. Although her memoir made a point to highlight the stories of women of color that she encounters during her time in Federal Correctional Institution (FCI), Danbury, their stories were not the main focus of either her memoir or the show. They were seemingly only addressed to contribute to Kerman’s experience and to help appeal to a “wider” audience. This suppression of their stories are why the works of Paula C. Johnson’s Inner Lives: Voices of African American Women in Prison, along with Robin Levi and Ayelet Waldman’s Inside This Place, Not of It: Narratives from Women’s Prisons, are important to read and study. In their texts, the autobiographical protagonists discuss their daily lives while incarcerated, noting the inadequate healthcare, the physical and sexual abuse they endured from the correctional staff, and discrimination throughout the criminal justice system. . . . """,slavery; black women; slave narratives; prison memoirs; memoir; autobiography; trauma; abuse; human rights,textual analysis,literary studies,Leila Pazargadi,,,,,,English,,,pdf,enghtjones.pdf,/objects/enghtjones.pdf,/objects/small/enghtjones_sm.jpg,/objects/thumbs/enghtjones_th.jpg,,
"Joseph, Gabriella",enghtjoseph.pdf,ht039,thesis,The Gift of an Education: Agency in Women's Award-Winning Memoirs,2021-12,2018,Tara Westover publishes Educated: A Memoir.,"Abstract: This paper investigates memoir writing as a catalyst to future success and achievement as well as a documented literary artifact of one’s ambitious triumphs. In Malala Yousafzai’s debut memoir, I Am Malala, the author discusses the perpetually powerful ignition of her mind and how that led her to her quality education and second chance at life. Similarly, Tara Westover hails from her religious community and explores the agencies of poignant self-determination and authentic authorship in Educated. These women hold significance in their subjugations in that they tore down the walls of marginalization and an unattainable education as well as they created literature that shows valuable transcontinental change. Therefore, through a comparative close reading of the way in which Yousafzai and Westover defy the denial of education from their respective religious communities, this article argues that both women subvert expectations by firstly, pursuing their education and secondly, recording it in their life narratives of education. In writing about their experiences, both women exemplify how they use life writing to assert their agency through the dissemination of their stories, and encourage other women similarly oppressed by patriarchy. Despite facing multiple forms of liminality, they strongly disregarded the inaccessibility of their education and persevered. This ultimately led to their global success and achievement as articulate and capable women who continue to thrive instead of merely existing and remaining stagnant in an ever-changing world, all by inspiring others to create their own autobiographies.",memoir; autobiography; women; education; human rights; Malala Yousafzai; I Am Malala; Tara Westover; Educated; religion; Christian; Mormon,textual analysis,literary studies,Leila Pazargadi,Idaho,,,,,English,,,pdf,enghtjoseph.pdf,/objects/enghtjoseph.pdf,/objects/small/enghtjoseph_sm.jpg,/objects/thumbs/enghtjoseph_th.jpg,,
"Kirkland, Trinadot",enghtkirkland.pdf,ht040,thesis,The Ethereal Court Chronicles: Oceanic Odyssey,2024-05,,,"Chapter 1: ""Things have been crazy, and I’ve been journaling for a while. I really hope that this time it might help me unpack everything. In all honesty, I don’t really know where to begin, and writing, specifically about my feelings, is not my strongest skill. Before I first met them, everything felt fine. Now I don’t know how I feel. All I know is that one day I was preparing for exams, and now I’m not allowed to leave this place. This palace is now my prison. I’m doing everything in my power to make the most of it, but I’m ruining everything I touch. I try my best to get to know my family, and I’m pretty sure both my little brothers hate me. It’s really not my fault, I don’t even want to be here. They think I want Celestium to take over. I want to scream that I’m here against my will, but I can’t do that.""",,creative writing,creative writing,Heather Lang-Cassera,,,,,,English,,,pdf,enghtkirkland.pdf,/objects/enghtkirkland.pdf,/objects/small/enghtkirkland_sm.jpg,/objects/thumbs/enghtkirkland_th.jpg,,
"Millard, Rebecca",enghtmillard.pdf,ht041,thesis,I Am Wonder Woman Hear Me Roar: A Feminist Analysis of Women from the Inception of Wonder Woman to the 21st Century,2017-05,1941,"Wonder Woman debuts in ""Sensation Comics #1.""","Chapter 1: Wonder Woman emerged onto the comic book scene in 1941. During her debut, patriarchy not only oppressed women in American society, it often silenced them in literature as well, and even with the advances made during the Suffrage Movement and the first wave of feminism, women in the 20th-Century were still expected to remain at home performing domestic duties. World War II gave women a unique opportunity to enter the workforce while men fought in the war; however, after the war was over, patriarchy began to force women back into domestic roles, trying once again to revoke their agency. Since then, Wonder Woman has remained an iconic feminist revolutionary, challenging gender roles and surpassing male prowess; yet, many contemporary feminist scholars question whether she is ever feminist enough, even in her debut. By exploring Wonder Woman’s role in comics through each wave of feminism, and by utilizing concepts found in Butler’s Gender Trouble: Feminism and the Subversion of Identity (1990) and Halberstam’s Female Masculinity (1998), I seek to show the myriad of ways in which themes of feminism, female masculinity, and gender performativity uncover how Wonder Woman has guided both pro- and anti-feminist readings over time. In so doing, it becomes evident that Wonder Woman must fulfill her role of empowering and guiding the gender perceptions of both young women and men to permanently extinguish the misogynistic standards of a patriarchal society which continues to silence women in the 21st century.",Wonder Woman; feminism; comics; gender; Judith Butler; Halberstam,textual analysis,literary studies,Joanna Shearer,,,,,,English,,,pdf,enghtmillard.pdf,/objects/enghtmillard.pdf,/objects/small/enghtmillard_sm.jpg,/objects/thumbs/enghtmillard_th.jpg,,
"Pulotu, Clarissa",enghtpulotu.pdf,ht042,thesis,Sina: A Tragedy - An A Cappella Musical,2024-05,,,"Introduction: ""Dear Reader: The journey of creating this play began with the song “The Cannon Fodder Curse.” That song is the heart of this play and the reason I decided to start this project. The script was written to give a voice to those who are often voiceless people who are silenced, marginalized, or even killed because of their beliefs, their place of origin, whom they love, or who they are. When a community stages this play, I hope it sparks meaningful conversations. I hope it encourages people to discuss their differences in a safe, open way, and, in doing so, discover that they have more in common than they thought. I also hope that when audiences leave the theater, they carry with them a commitment to prevent the injustices portrayed in the play in the real world. A promise to never let something like what happens to Sina happen to anyone else. . . . """,,creative writing,creative writing,Heather Lang-Cassera,,,,,,English,,,pdf,enghtpulotu.pdf,/objects/enghtpulotu.pdf,/objects/small/enghtpulotu_sm.jpg,/objects/thumbs/enghtpulotu_th.jpg,,
"Tamayo, Jalees",enghttamayo.pdf,ht043,thesis,"""For Better or For Worse, Standard Academic English"": Code Meshing and Multimodality in Academia",2024-05,,,"Introduction: ""10/26/23 / I don’t know how to go about this, I know and I know that I shouldn’t be thinking this way. I don’t feel like myself anymore. I feel hesitant to take sessions because maybe I shouldn’t be taking sessions. Am I still a writer? Am I qualified to take sessions? Maybe I just lied my way through the writing center and pretended like I was good about what I do? Maybe I can’t help students and they need better writers like the rest of my coworkers. They’re good at what they do and I am not. Am I being dramatic? The feedback wasn’t that bad was it? / I just feel scared to write. To write my assignment for Rachel or even Bri. What if they see right past me too? Realize that she’s right about my writing. I have sentence fragments, I don’t read enough, and I have grammar mistakes. Do I belong in my writing center? Will they see that I am a bad writer too? I sat on my break in silence in a room and just thought about my writing. I felt an attack on my language. I am a multilingual writer and my mom taught me my language. . . """,language; writing; students; teaching; composition; multimodality; code meshing; identity; Gloria Anzaldúa,autoethnography; creative writing; qualitative research; interviews; tasks; Roblox,writing studies,Brianne Taormina,Nevada State University,35.98330936,-114.9392226,,,English; Spanish,,,pdf,enghttamayo.pdf,/objects/enghttamayo.pdf,/objects/small/enghttamayo_sm.jpg,/objects/thumbs/enghttamayo_th.jpg,,
"Torres-Lopez, Wesly",enghttorreslopez.pdf,ht044,thesis,"Tu Familia es lo Mas Importante: Hector, Achilles, and the Reframing of Heroic Masculinity and its Legacy in the Iliad",2022-12,,,"Introduction: ""To properly frame my project, I must first tell you a story about my family. My father comes from humble beginnings and is the fifth of nine children. He grew up very poor in a household with limited access to food and water. To put food on the table, my grandfather would take him and his brothers out to the fields to gather vegetables, move materials, or do whatever manual labor they could find. It was hard, back-breaking work, but it taught him to hold firm to the belief that he needed to do whatever was necessary as a provider because “tu familia es lo mas importante.” Like many men of his generation, this strict upbringing conditioned my father to endure no matter what challenges were placed before him. Unfortunately, when such high expectations are thrust upon the next generation, it creates a mindset in which they are often ill-equipped to navigate in the same ways and creates often unintentional emotional scars that are difficult to heal from. The children of such parents and grandparents hold on to their generational pain like a thorn rooted in their palm, where it festers and, if left untreated, cripples the limb. . . .""","Hector, Achilles, Homer, The Iliad, masculinity, fatherhood, trauma",textual analysis,literary studies,Joanna Shearer,Ancient Troy,,,,,English; Spanish,,,pdf,enghttorreslopez.pdf,/objects/enghttorreslopez.pdf,/objects/small/enghttorreslopez_sm.jpg,/objects/thumbs/enghttorreslopez_th.jpg,,
,giselle-advisor.jpg,ht045,photograph,Giselle Gradilla with her advisor,2022-12,,,"Giselle Gradilla with her advisor, Molly Appel, after her defense.",defense,,,,,,,,,,,,image,giselle-advisor.jpg,/objects/giselle-advisor.jpg,/objects/small/giselle-advisor_sm.jpg,/objects/thumbs/giselle-advisor_th.jpg,,
,giselle-dolores-huerta.jpg,ht046,photograph,Giselle Gradilla and Dolores Huerta,2022-10,,,Giselle Gradilla with Chicana activist Dolores Huerta.,research,,,,,,,,,,,,image,giselle-dolores-huerta.jpg,/objects/giselle-dolores-huerta.jpg,/objects/small/giselle-dolores-huerta_sm.jpg,/objects/thumbs/giselle-dolores-huerta_th.jpg,,
,giselle-prisca-interview.jpg,ht047,photograph,Giselle Gradilla and Prisca Dorcas Mojica Rodríguez,2022-11,,,Giselle Gradilla interviewing author Prisca Dorcas Mojica Rodríguez,research; interview,,,,,,,,,,,,image,giselle-prisca-interview.jpg,/objects/giselle-prisca-interview.jpg,/objects/small/giselle-prisca-interview_sm.jpg,/objects/thumbs/giselle-prisca-interview_th.jpg,,
,lesly-advisor.jpg,ht048,photograph,Lesly Arias with her advisor,2024-05,,,,,,,,,,,,,,,,image,lesly-advisor.jpg,/objects/lesly-advisor.jpg,/objects/small/lesly-advisor_sm.jpg,/objects/thumbs/lesly-advisor_th.jpg,,
,liz-with-books.jpg,ht049,photograph,Liz Galvez with her theoretical texts,2022-12,,,,,,,,,,,,,,,,image,liz-with-books.jpg,/objects/liz-with-books.jpg,/objects/small/liz-with-books_sm.jpg,/objects/thumbs/liz-with-books_th.jpg,,
,monica-family.jpg,ht050,photograph,Monica Flores at her defense with her family,2024-05,,,,,,,,,,,,,,,,image,monica-family.jpg,/objects/monica-family.jpg,/objects/small/monica-family_sm.jpg,/objects/thumbs/monica-family_th.jpg,,
,monica-presentation.jpg,ht051,photograph,Monica Flores presenting her thesis,2024-05,,,,,,,,,,,,,,,,image,monica-presentation.jpg,/objects/monica-presentation.jpg,/objects/small/monica-presentation_sm.jpg,/objects/thumbs/monica-presentation_th.jpg,,
,rhovi-committee.JPG,ht052,photograph,Rhovi Naliponguit with her committee,2023-05,,,,,,,,,,,,,,,,image,rhovi-committee.JPG,/objects/rhovi-committee.JPG,/objects/small/rhovi-committee_sm.jpg,/objects/thumbs/rhovi-committee_th.jpg,,
,rhovi-defense-abstract.jpg,ht053,photograph,Rhovi Naliponguit at her defense,2023-05,,,,,,,,,,,,,,,,image,rhovi-defense-abstract.jpg,/objects/rhovi-defense-abstract.jpg,/objects/small/rhovi-defense-abstract_sm.jpg,/objects/thumbs/rhovi-defense-abstract_th.jpg,,
,wesly-committee.jpg,ht054,photograph,Wesly Torres-Lopez with his committee,2022-12,,,,,,,,,,,,,,,,image,wesly-committee.jpg,/objects/wesly-committee.jpg,/objects/small/wesly-committee_sm.jpg,/objects/thumbs/wesly-committee_th.jpg,,
